system:index,CHIRPS_MATOC,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_MATOC_CORR
84,83.55507962520305,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-01-01,1,1.4594143508430073,121.9414822908515
85,130.1906744150015,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-02-01,2,1.1729096681517877,152.70190072455682
86,168.5906749505263,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-03-01,3,1.0176523505820951,171.56669664962504
87,82.11385986208916,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-04-01,4,1.4159446733735415,116.26868248186659
88,31.32416266661424,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-05-01,5,1.5219398888725382,47.673492647852186
89,2.7745701611453955,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-06-01,6,1.7515368991023574,4.8597620163945345
90,2.9396195778479943,2019-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-07-01,7,1.7446835045501838,5.12870578712417
91,6.273069143295288,2019-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-08-01,8,1.1623543434326868,7.291529165362842
92,58.46464648613563,2019-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-09-01,9,0.9070016507451076,53.02753087315417
93,56.73238042684702,2019-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-10-01,10,1.3044451451374333,74.00427821989054
94,61.9028476895048,2019-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-11-01,11,1.4967678322639064,92.65419114718287
95,101.15327728253143,2019-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2019-12-01,12,1.6946525708826246,171.41966140004487
96,72.77422260321103,2020-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-01-01,1,1.4594143508430073,106.20774483856974
97,99.8551226395827,2020-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2020-02-01,2,1.1729096681517877,117.121038758449
