fecha,Q_m3s
2013-07-20,0.009428854166666667
2013-07-21,0.023725749128919862
2013-07-22,0.0061805555555555555
2013-07-23,0.0056815625
2013-07-24,0.006152777777777778
2013-07-25,0.006143923611111111
2013-07-26,0.007594236111111111
2013-07-27,0.007765520833333334
2013-07-28,0.007905069444444445
2013-07-29,0.007336631944444445
2013-07-30,0.0074190625
2013-07-31,0.007375659722222223
2013-08-01,0.007121875
2013-08-02,0.0061225
2013-08-03,0.007027951388888888
2013-08-04,0.007071006944444444
2013-08-05,0.0067942013888888896
2013-08-06,0.006749409722222222
2013-08-07,0.006752881944444445
2013-08-08,0.007437534722222222
2013-08-09,0.007412152777777778
2013-08-10,0.0071915625
2013-08-11,0.007190208333333333
2013-08-12,0.0065952430555555564
2013-08-13,0.006177569444444445
2013-08-14,0.006006284722222223
2013-08-15,0.006630451388888889
2013-08-16,0.006987118055555556
2013-08-17,0.006500937500000001
2013-08-18,0.005914930555555555
2013-08-19,0.005889895833333334
2013-08-20,0.005634479166666667
2013-08-21,0.005292013888888889
2013-08-22,0.005818750000000001
2013-08-23,0.005964305555555556
2013-08-24,0.005863263888888889
2013-08-25,0.005596805555555555
2013-08-26,0.0068841319444444445
2013-08-27,0.00908357638888889
2013-08-28,0.00896111111111111
2013-08-29,0.007489930555555555
2013-08-30,0.006490416666666667
2013-08-31,0.0060582986111111115
2013-09-01,0.005842951388888889
2013-09-02,0.008287333333333334
2013-09-03,0.008035416666666666
2013-09-04,0.005747638888888889
2013-09-05,0.005516736111111111
2013-09-06,0.005251631944444444
2013-09-07,0.004919652777777778
2013-09-08,0.004853194444444445
2013-09-09,0.004989409722222222
2013-09-10,0.0052450694444444446
2013-09-11,0.005193402777777778
2013-09-12,0.005068784722222223
2013-09-13,0.005391736111111111
2013-09-14,0.005777777777777778
2013-09-15,0.005513125
2013-09-16,0.006561527777777778
2013-09-17,0.006031701388888889
2013-09-18,0.005541180555555556
2013-09-19,0.006726527777777778
2013-09-20,0.005973472222222223
2013-09-21,0.005286145833333334
2013-09-22,0.004678958333333334
2013-09-23,0.004407118055555556
2013-09-24,0.004670868055555556
2013-09-25,0.004193020833333333
2013-09-26,0.004233125
2013-09-27,0.004234548611111111
2013-09-28,0.004263958333333333
2013-09-29,0.0038541319444444447
2013-09-30,0.016135993031358885
2013-10-01,0.004662638888888889
2013-10-02,0.004727359154929577
2013-10-03,0.004740590277777778
2013-10-04,0.004300381944444444
2013-10-05,0.004110451388888889
2013-10-06,0.007318611111111111
2013-10-07,0.008322847222222223
2013-10-08,0.004545868055555556
2013-10-09,0.005825277777777778
2013-10-10,0.007432048611111111
2013-10-11,0.006661736111111111
2013-10-12,0.006860590277777778
2013-10-13,0.010389861111111112
2013-10-14,0.01571107638888889
2013-10-15,0.04179354166666667
2013-10-16,0.04699701388888889
2013-10-17,0.06410309027777777
2013-10-18,0.044664756944444446
2013-10-19,0.028277291666666666
2013-10-20,0.024156458333333335
2013-10-21,0.02576138888888889
2013-10-22,0.020496493055555554
2013-10-23,0.016715902777777777
2013-10-24,0.014735555555555557
2013-10-25,0.016642430555555556
2013-10-26,0.016546597222222223
2013-10-27,0.01885701388888889
2013-10-28,0.06505
2013-10-29,0.10447600694444444
2013-10-30,0.11040027777777778
2013-10-31,0.11551253472222221
2013-11-01,0.10352625
2013-11-02,0.10446024305555555
2013-11-03,0.1748406597222222
2013-11-04,0.2121376388888889
2013-11-05,0.15451041666666668
2013-11-06,0.13047944444444445
2013-11-07,0.10951458333333333
2013-11-08,0.08464034722222222
2013-11-09,0.06565381944444444
2013-11-10,0.06154
2013-11-11,0.0547046875
2013-11-12,0.05065802083333334
2013-11-13,0.05018239583333333
2013-11-14,0.04494909722222222
2013-11-15,0.03553055555555555
2013-11-16,0.029982152777777778
2013-11-17,0.04339034722222222
2013-11-18,0.07725149305555555
2013-11-19,0.08307881944444445
2013-11-20,0.08463149305555556
2013-11-21,0.11516934027777778
2013-11-22,0.15050430555555555
2013-11-23,0.13163902777777778
2013-11-24,0.10591986111111111
2013-11-25,0.09589204861111111
2013-11-26,0.0980653125
