UH,Iteracion,R,R2,RMSE,MAE,Bias_%,NSE
Pocco,19,0.8432021257316978,0.710989824838454,40.9638606043159,30.276030472773527,19.295798979958516,0.5875838032809746
Pocco,20,0.9770736939119635,0.9546730033347693,34.39478367204557,26.650820171453294,-20.869307511473327,0.7886888839498178
Pocco,21,0.8523785815761453,0.7265492463297615,33.26349803858446,21.97708015776271,9.019848865611344,0.7165849237830718
Pocco,22,0.9614259811894167,0.9243399173060326,26.884013907468752,21.024172218893735,9.92818319127678,0.9069143599767082
Pocco,23,0.9019550782531935,0.8135229631867245,32.397449871080795,25.343161166469883,3.540975330212101,0.7662344885794429
Pocco,24,0.96200622909725,0.9254559848219106,29.249801972225416,22.831984806272974,5.744579258785878,0.9106178347008148
Pocco,25,0.9018424272467509,0.8133197635823112,60.892228140640505,31.166454133975503,-15.329096903104725,0.708254178689039
Pocco,26,0.9586858303092125,0.9190785212356642,63.11955542705222,33.44752564138226,-24.72666542969529,0.6464340983160108
Pocco,27,0.9069614393408602,0.8225790524512447,42.85703153540595,24.24831405736302,-14.231867776461579,0.8024154995985575
Pocco,28,0.8720180059009596,0.760415402615486,63.00167948307384,36.12401541561557,-16.941081053563035,0.6375788309710315
Pocco,29,0.8924517878753475,0.7964701936819043,41.814875245888224,33.24212520839744,-15.873589050116218,0.7469875588925778
Pocco,30,0.907357071824136,0.8232968557892704,35.193434416124326,26.262588810513083,3.5912506669393536,0.8173295836111159
