fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion
2018-02-01,104.87,36.3049634349422,20.76,2018,2,False,True
2018-03-01,233.2,48.51463003505612,55.03,2018,3,False,True
2018-04-01,106.7,52.52322350254979,33.3,2018,4,False,True
2018-05-01,63.8,47.57701970634884,8.21,2018,5,False,True
2018-06-01,4.27,59.96659582790123,1.48,2018,6,False,True
2018-07-01,5.6,62.491132919581744,0.37,2018,7,False,True
2018-08-01,6.47,57.42938513509811,0.13,2018,8,False,True
2018-09-01,16.4,50.00252454077804,0.04,2018,9,False,True
2018-10-01,115.8,63.31796900819487,2.18,2018,10,False,True
2018-11-01,182.19,42.34939074050439,19.93,2018,11,False,True
2018-12-01,153.96,53.00438028175719,,2018,12,False,True
2019-01-01,185.15,39.14679748617097,,2019,1,False,False
2019-02-01,202.06,35.48842615604745,,2019,2,False,False
2019-03-01,192.12,47.39192889775697,,2019,3,False,False
2019-04-01,131.48,56.51974734350386,,2019,4,False,False
2019-05-01,42.95,51.940986913243655,,2019,5,False,False
2019-06-01,21.52,64.53182602562178,,2019,6,False,False
2019-07-01,19.95,68.2296534454819,,2019,7,False,False
2019-08-01,6.36,58.81271254697574,,2019,8,False,False
2019-09-01,56.72,56.6671221157473,,2019,9,False,False
2019-10-01,84.43,64.33456953370964,,2019,10,False,False
2019-11-01,103.6,39.592144288166885,,2019,11,False,False
2019-12-01,255.73,47.34431132941988,,2019,12,False,False
2020-01-01,105.16,40.587702051864326,,2020,1,False,False
2020-02-01,132.7,39.737672075676535,,2020,2,False,False
2020-03-01,167.2,49.32033691686184,,2020,3,False,False
2020-04-01,81.64,56.295645260681546,,2020,4,False,False
2020-05-01,101.33,50.347244723751714,,2020,5,False,False
2020-06-01,9.67,68.97765589317436,,2020,6,False,False
2020-07-01,25.18,68.658584099474,,2020,7,False,False
2020-08-01,10.89,62.19651522953264,,2020,8,False,False
2020-09-01,54.8,53.32947349728381,,2020,9,False,False
2020-10-01,152.79,64.85115307145023,,2020,10,False,False
2020-11-01,76.05,39.48221518124415,,2020,11,False,False
2020-12-01,172.3,45.06035974303692,,2020,12,False,False
2021-01-01,115.85,38.02539905670391,,2021,1,False,False
2021-02-01,104.77,38.25394030953247,,2021,2,False,False
2021-03-01,213.91,44.64752622166029,,2021,3,False,False
2021-04-01,121.27,56.799231446047365,,2021,4,False,False
2021-05-01,57.51,48.96582827821938,,2021,5,False,False
2021-06-01,3.44,66.18008500840848,,2021,6,False,False
2021-07-01,3.18,69.31082731551845,,2021,7,False,False
2021-08-01,9.38,61.44496134710492,,2021,8,False,False
2021-09-01,31.01,53.93394615323684,,2021,9,False,False
2021-10-01,81.43,70.57564044260947,,2021,10,False,False
2021-11-01,157.33,37.76371432678197,,2021,11,False,False
2021-12-01,145.36,49.32402805492201,,2021,12,False,False
2022-01-01,177.53,38.72521895211717,,2022,1,False,False
2022-02-01,170.01,36.22907692462434,,2022,2,False,False
2022-03-01,168.97,47.68560257859421,,2022,3,False,False
2022-04-01,131.5,56.3728793115202,,2022,4,False,False
2022-05-01,62.7,50.54680726778344,,2022,5,False,False
2022-06-01,18.7,63.32941045134169,,2022,6,False,False
2022-07-01,6.7,69.21195026446127,,2022,7,False,False
2022-08-01,14.3,63.83265507161472,,2022,8,False,False
2022-09-01,45.3,53.4532356520434,,2022,9,False,False
2022-10-01,47.9,67.08497959815165,,2022,10,False,False
2022-11-01,2.6,43.55754976218745,,2022,11,False,False
2022-12-01,136.83,47.9218920880061,,2022,12,False,False
