fecha,Q_m3s
2014-09-15,0.006503284224413194
2014-09-16,0.008477914344513887
2014-09-17,0.00694205052090625
2014-09-18,0.005555021694336805
2014-09-19,0.005445909062065973
2014-09-20,0.005116547918822916
2014-09-21,0.00504265375284375
2014-09-22,0.004959392546274306
2014-09-23,0.004991506201729167
2014-09-24,0.004932499628524305
2014-09-25,0.005472851093895833
2014-09-26,0.0054404114443854165
2014-09-27,0.004997597232104166
2014-09-28,0.0051100393975451385
2014-09-29,0.01981715209189547
2014-09-30,0.037440290471200004
2014-10-01,0.012856943360190973
2014-10-02,0.008220570655972223
2014-10-03,0.006653996087996527
2014-10-04,0.006078361777871528
2014-10-05,0.005737253280645833
2014-10-06,0.005384891429784722
2014-10-07,0.00536372601528125
2014-10-08,0.007390558484909723
2014-10-09,0.007623321187062501
2014-10-10,0.006579174559975694
2014-10-11,0.006147196728795139
2014-10-12,0.005688469467256945
2014-10-13,0.005678254526041667
2014-10-14,0.0052734721638125
2014-10-15,0.004954912728232639
2014-10-16,0.0047372133202326396
2014-10-17,0.004642677479086806
2014-10-18,0.0047259196763611115
2014-10-19,0.0045042882338125
2014-10-20,0.005216424072350695
2014-10-21,0.011861566889204946
2014-10-22,0.008328930401006945
2014-10-23,0.0071462449525173605
2014-10-24,0.00946650029601049
2014-10-25,0.013637985807881944
2014-10-26,0.01191133129217014
2014-10-27,0.009230801415975695
2014-10-28,0.008356325744329861
2014-10-29,0.011748385857375
2014-10-30,0.012271359204930556
2014-10-31,0.010164388432027778
