system:index,CHIRPS,date,.geo
113,1.9626174798378577,2021-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,1.8232866250551663,2021-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,8.068364299260653,2021-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,34.19070463914137,2021-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,62.421694627174965,2021-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,105.11213326454163,2021-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,85.77745614143518,2021-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,121.64305799741011,2022-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,144.94578138681558,2022-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,166.04185371215524,2022-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,92.86954932946425,2022-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,41.19440262134259,2022-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,6.2350075479883404,2022-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,1.8232867075846746,2022-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,7.779973479417654,2022-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,57.8159729058926,2022-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,55.58932636334346,2022-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,45.78560878680302,2022-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,80.74349552851457,2022-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
