fecha,P_mm,Tmed_c,ndvi,Q_mm
2016-11-01,33.15,8.37,0.09,8.74
2016-12-01,220.63,8.39,0.1,77.26
2017-01-01,249.39,6.49,0.1,118.43
2017-02-01,232.77,6.65,0.12,137.26
2017-03-01,298.81,7.88,0.13,195.53
2017-04-01,149.26,10.07,0.14,104.99
2017-05-01,119.01,8.85,0.14,86.4
2017-06-01,14.19,11.83,0.13,30.4
2017-07-01,4.82,10.96,0.17,21.43
2017-08-01,13.98,10.48,0.25,16.19
2017-09-01,68.52,9.68,0.1,23.03
2017-10-01,103.45,10.95,0.11,33.92
2017-11-01,67.88,7.25,0.13,28.12
2017-12-01,187.82,8.01,0.15,83.92
2018-01-01,194.96,6.45,0.14,106.09
2018-02-01,155.8,7.19,0.14,95.71
2018-03-01,303.5,8.6,0.14,192.4
2018-04-01,110.2,9.55,0.15,78.62
2018-05-01,61.4,8.76,0.14,45.69
2018-06-01,12.9,10.84,0.13,26.67
2018-07-01,9.4,10.86,0.11,19.37
2018-08-01,5.6,10.03,0.1,14.3
2018-09-01,28.0,8.93,0.15,12.19
2018-10-01,136.26,10.51,0.09,43.72
2018-11-01,217.43,7.79,0.13,96.11
2018-12-01,182.92,9.06,0.13,90.64
2019-01-01,221.05,7.63,0.36,131.24
2019-02-01,241.72,7.75,0.39,162.98
2019-03-01,229.58,9.12,0.42,161.84
2019-04-01,155.44,11.03,0.35,111.13
2019-05-01,47.21,10.33,0.26,39.32
2019-06-01,21.01,12.39,0.3,28.8
2019-07-01,19.09,12.59,0.25,21.22
2019-08-01,2.47,10.99,0.21,15.31
2019-09-01,64.04,10.92,0.2,18.94
2019-10-01,97.92,11.38,0.21,30.59
2019-11-01,121.35,7.99,0.26,51.02
2019-12-01,307.34,8.76,0.3,154.91
2020-01-01,123.27,8.19,0.32,76.03
2020-02-01,156.93,8.93,0.31,98.84
2020-03-01,199.11,9.77,0.37,125.89
2020-04-01,94.51,11.26,0.39,61.11
2020-05-01,118.58,10.31,0.37,75.21
2020-06-01,6.52,13.48,0.29,25.0
2020-07-01,25.48,12.92,0.25,19.11
2020-08-01,8.01,11.88,0.21,14.01
2020-09-01,61.7,10.57,0.18,18.05
2020-10-01,155.2,11.73,0.18,54.41
2020-11-01,79.72,8.26,0.22,34.1
2020-12-01,174.63,8.63,0.26,80.37
2021-01-01,116.04,7.6,0.3,61.66
2021-02-01,107.43,8.51,0.35,59.72
2021-03-01,215.94,8.78,0.19,122.7
2021-04-01,121.33,11.25,0.34,70.56
2021-05-01,60.06,9.93,0.33,37.16
2021-06-01,6.11,12.86,0.3,21.19
2021-07-01,5.66,12.95,0.27,14.95
2021-08-01,9.75,11.64,0.23,11.2
2021-09-01,31.83,10.58,0.2,9.67
2021-10-01,81.32,12.63,0.18,15.32
2021-11-01,163.45,7.81,0.25,58.53
2021-12-01,148.83,9.3,0.34,58.58
2022-01-01,180.95,7.78,0.33,87.42
2022-02-01,172.38,8.14,0.24,96.5
2022-03-01,168.42,9.41,0.31,97.84
2022-04-01,130.13,11.22,0.37,75.85
2022-05-01,65.12,10.29,0.28,39.53
2022-06-01,23.8,12.37,0.33,23.45
2022-07-01,6.0,12.98,0.26,16.49
2022-08-01,13.3,12.13,0.22,12.38
2022-09-01,71.6,10.54,0.19,20.28
2022-10-01,79.2,12.07,0.2,19.01
2022-11-01,70.38,8.99,0.23,22.35
2022-12-01,137.82,9.1,0.25,50.72
